instance,initial_solution,intermediate_solutions_number,final_solution,iterations,equivalent_time,seed,perturbation_ratio
instances/01.txt,26,0,26,1520,5,1,0.15
instances/02.txt,31,2,27,2228,5,1,0.15
instances/03.txt,52,1,51,326,5,1,0.15
instances/04.txt,58,1,54,592,5,1,0.15
instances/05.txt,104,1,103,80,5,1,0.15
instances/06.txt,110,2,108,155,5,1,0.15
instances/07.txt,207,1,206,18,5,1,0.15
instances/08.txt,221,1,216,33,5,1,0.15
instances/09.txt,342,1,338,10,5,1,0.15
instances/10.txt,342,1,338,11,5,1,0.15
instances/01.txt,26,0,26,1452,5,1,0.3
instances/02.txt,31,2,27,2151,5,1,0.3
instances/03.txt,52,1,51,314,5,1,0.3
instances/04.txt,58,1,54,563,5,1,0.3
instances/05.txt,104,2,102,86,5,1,0.3
instances/06.txt,110,1,109,149,5,1,0.3
instances/07.txt,207,2,205,19,5,1,0.3
instances/08.txt,221,1,216,40,5,1,0.3
instances/09.txt,342,1,338,11,5,1,0.3
instances/10.txt,342,1,338,12,5,1,0.3
instances/01.txt,27,1,26,1494,5,2,0.15
instances/02.txt,29,1,27,2177,5,2,0.15
instances/03.txt,52,1,51,331,5,2,0.15
instances/04.txt,57,1,55,584,5,2,0.15
instances/05.txt,104,1,103,82,5,2,0.15
instances/06.txt,110,1,108,154,5,2,0.15
instances/07.txt,207,2,205,19,5,2,0.15
instances/08.txt,219,1,217,40,5,2,0.15
instances/09.txt,342,1,339,11,5,2,0.15
instances/10.txt,341,1,338,12,5,2,0.15
instances/01.txt,27,1,26,1499,5,2,0.3
instances/02.txt,29,1,27,2164,5,2,0.3
instances/03.txt,52,1,51,316,5,2,0.3
instances/04.txt,57,1,55,582,5,2,0.3
instances/05.txt,104,2,102,81,5,2,0.3
instances/06.txt,110,1,108,153,5,2,0.3
instances/07.txt,207,1,206,20,5,2,0.3
instances/08.txt,219,1,217,40,5,2,0.3
instances/09.txt,342,1,339,11,5,2,0.3
instances/10.txt,341,1,338,11,5,2,0.3
instances/01.txt,27,1,26,1509,5,3,0.15
instances/02.txt,28,1,27,2182,5,3,0.15
instances/03.txt,52,1,51,316,5,3,0.15
instances/04.txt,57,1,55,584,5,3,0.15
instances/05.txt,105,2,103,78,5,3,0.15
instances/06.txt,110,0,110,156,5,3,0.15
instances/07.txt,207,1,206,21,5,3,0.15
instances/08.txt,220,1,217,41,5,3,0.15
instances/09.txt,341,1,336,11,5,3,0.15
instances/10.txt,343,1,339,12,5,3,0.15
instances/01.txt,27,1,26,1489,5,3,0.3
instances/02.txt,28,1,27,2153,5,3,0.3
instances/03.txt,52,1,51,328,5,3,0.3
instances/04.txt,57,1,55,585,5,3,0.3
instances/05.txt,105,2,103,84,5,3,0.3
instances/06.txt,110,1,109,153,5,3,0.3
instances/07.txt,207,1,206,20,5,3,0.3
instances/08.txt,220,1,217,40,5,3,0.3
instances/09.txt,341,1,336,12,5,3,0.3
instances/10.txt,343,1,339,12,5,3,0.3
