instance,initial_solution,intermediate_solutions_number,final_solution,iterations,equivalent_time,seed,perturbation_ratio

instances/01.txt,26,0,26,1422,5,1,0
instances/02.txt,31,1,28,2279,5,1,0
instances/03.txt,52,0,52,228,5,1,0
instances/04.txt,58,1,54,627,5,1,0
instances/05.txt,104,1,103,88,5,1,0
instances/06.txt,110,1,109,158,5,1,0
instances/07.txt,207,0,207,13,5,1,0
instances/08.txt,221,1,216,39,5,1,0
instances/09.txt,342,1,338,11,5,1,0
instances/10.txt,342,1,338,10,5,1,0
instances/01.txt,26,0,26,1486,5,1,0
instances/02.txt,31,1,28,2291,5,1,0
instances/03.txt,52,0,52,230,5,1,0
instances/04.txt,58,1,54,622,5,1,0
instances/05.txt,104,1,103,83,5,1,0
instances/06.txt,110,1,109,159,5,1,0
instances/07.txt,207,0,207,13,5,1,0
instances/08.txt,221,1,216,40,5,1,0
instances/09.txt,342,1,338,11,5,1,0
instances/10.txt,342,1,338,10,5,1,0
instances/01.txt,27,1,26,1335,5,2,0
instances/02.txt,29,1,27,2242,5,2,0
instances/03.txt,52,0,52,266,5,2,0
instances/04.txt,57,1,55,619,5,2,0
instances/05.txt,104,0,104,79,5,2,0
instances/06.txt,110,1,108,161,5,2,0
instances/07.txt,207,1,206,24,5,2,0
instances/08.txt,219,1,217,40,5,2,0
instances/09.txt,342,1,339,9,5,2,0
instances/10.txt,341,1,338,10,5,2,0
instances/01.txt,27,1,26,1467,5,2,0
instances/02.txt,29,1,27,2180,5,2,0
instances/03.txt,52,0,52,274,5,2,0
instances/04.txt,57,1,55,618,5,2,0
instances/05.txt,104,0,104,76,5,2,0
instances/06.txt,110,1,108,159,5,2,0
instances/07.txt,207,1,206,20,5,2,0
instances/08.txt,219,1,217,39,5,2,0
instances/09.txt,342,1,339,9,5,2,0
instances/10.txt,341,1,338,10,5,2,0
instances/01.txt,27,1,26,1397,5,3,0
instances/02.txt,28,1,27,2164,5,3,0
instances/03.txt,52,0,52,273,5,3,0
instances/04.txt,57,1,55,603,5,3,0
instances/05.txt,105,2,103,74,5,3,0
instances/06.txt,110,0,110,155,5,3,0
instances/07.txt,207,1,206,24,5,3,0
instances/08.txt,220,1,217,41,5,3,0
instances/09.txt,341,1,336,10,5,3,0
instances/10.txt,343,1,339,10,5,3,0
instances/01.txt,27,1,26,1485,5,3,0
instances/02.txt,28,1,27,2250,5,3,0
instances/03.txt,52,0,52,291,5,3,0
instances/04.txt,57,1,55,615,5,3,0
instances/05.txt,105,2,103,80,5,3,0
instances/06.txt,110,0,110,157,5,3,0
instances/07.txt,207,1,206,24,5,3,0
instances/08.txt,220,1,217,38,5,3,0
instances/09.txt,341,1,336,10,5,3,0
instances/10.txt,343,1,339,10,5,3,0
instances/01.txt,26,0,26,1274,5,4,0
instances/02.txt,29,1,28,2179,5,4,0
instances/03.txt,52,0,52,299,5,4,0
instances/04.txt,57,1,55,606,5,4,0
instances/05.txt,104,0,104,97,5,4,0
instances/06.txt,111,1,109,142,5,4,0
instances/07.txt,207,1,206,23,5,4,0
instances/08.txt,222,1,218,41,5,4,0
instances/09.txt,342,1,339,10,5,4,0
instances/10.txt,340,1,337,9,5,4,0
instances/01.txt,26,0,26,1356,5,4,0
instances/02.txt,29,1,28,2274,5,4,0
instances/03.txt,52,0,52,299,5,4,0
instances/04.txt,57,1,55,614,5,4,0
instances/05.txt,104,0,104,94,5,4,0
instances/06.txt,111,1,109,158,5,4,0
instances/07.txt,207,1,206,23,5,4,0
instances/08.txt,222,1,218,40,5,4,0
instances/09.txt,342,1,339,10,5,4,0
instances/10.txt,340,1,337,9,5,4,0
instances/01.txt,27,1,26,1430,5,5,0
instances/02.txt,29,0,29,2073,5,5,0
instances/03.txt,52,0,52,314,5,5,0
instances/04.txt,59,1,55,616,5,5,0
instances/05.txt,104,0,104,90,5,5,0
instances/06.txt,110,2,108,159,5,5,0
instances/07.txt,207,0,207,13,5,5,0
instances/08.txt,220,1,215,39,5,5,0
instances/09.txt,341,1,337,11,5,5,0
instances/10.txt,343,1,339,10,5,5,0
instances/01.txt,27,1,26,1479,5,5,0
instances/02.txt,29,0,29,2194,5,5,0
instances/03.txt,52,0,52,303,5,5,0
instances/04.txt,59,1,55,611,5,5,0
instances/05.txt,104,0,104,90,5,5,0
instances/06.txt,110,2,108,155,5,5,0
instances/07.txt,207,0,207,13,5,5,0
instances/08.txt,220,1,215,42,5,5,0
instances/09.txt,341,1,337,11,5,5,0
instances/10.txt,343,1,339,10,5,5,0
instances/01.txt,26,0,26,87967,300,1,0
instances/02.txt,31,1,28,138702,300,1,0
instances/03.txt,52,1,51,17175,300,1,0
instances/04.txt,58,1,54,36996,300,1,0
instances/05.txt,104,1,103,5540,300,1,0
instances/06.txt,110,1,109,8967,300,1,0
instances/07.txt,207,0,207,795,300,1,0
instances/08.txt,221,1,216,2380,300,1,0
instances/09.txt,342,1,338,590,300,1,0
instances/10.txt,342,1,338,594,300,1,0
instances/01.txt,26,0,26,84129,300,1,0
instances/02.txt,31,1,28,133706,300,1,0
instances/03.txt,52,1,51,16777,300,1,0
instances/04.txt,58,1,54,37472,300,1,0
instances/05.txt,104,1,103,5519,300,1,0
instances/06.txt,110,1,109,9153,300,1,0
instances/07.txt,207,0,207,805,300,1,0
instances/08.txt,221,1,216,2469,300,1,0
instances/09.txt,342,1,338,613,300,1,0
instances/10.txt,342,1,338,597,300,1,0
instances/01.txt,27,1,26,85256,300,2,0
instances/02.txt,29,1,27,131247,300,2,0
instances/03.txt,52,1,51,19649,300,2,0
instances/04.txt,57,1,55,36960,300,2,0
instances/05.txt,104,1,103,5796,300,2,0
instances/06.txt,110,1,108,9585,300,2,0
instances/07.txt,207,1,206,1469,300,2,0
instances/08.txt,219,1,217,2450,300,2,0
instances/09.txt,342,1,339,600,300,2,0
instances/10.txt,341,1,338,609,300,2,0
instances/01.txt,27,1,26,86807,300,2,0
instances/02.txt,29,1,27,128661,300,2,0
instances/03.txt,52,1,51,20418,300,2,0
instances/04.txt,57,1,55,37388,300,2,0
instances/05.txt,104,1,103,5763,300,2,0
instances/06.txt,110,1,108,9622,300,2,0
instances/07.txt,207,1,206,1450,300,2,0
instances/08.txt,219,1,217,2423,300,2,0
