nome_arquivo,seed,tempo_total,solucao_inicial,solucao_encontrada
01.txt,0,300.5999219,26,26
01.txt,1,300.1300537,26,26
01.txt,2,300.09099,26,26
01.txt,3,300.1300068,26,26
01.txt,4,300.0999506,26,26
01.txt,5,300.0883955,26,26
01.txt,6,300.1329505,26,26
01.txt,7,300.1258769,26,26
01.txt,8,300.1886952,26,26
01.txt,9,300.1827427,26,26
02.txt,0,0.2334709,26,26
02.txt,1,0.2096942,26,26
02.txt,2,0.2650695,26,26
02.txt,3,0.2205506,26,26
02.txt,4,0.203581,26,26
02.txt,5,0.2759466,26,26
02.txt,6,0.2063626,26,26
02.txt,7,0.3791457,26,26
02.txt,8,0.2091709,26,26
02.txt,9,0.1900512,26,26
03.txt,0,300.2294524,51,51
03.txt,1,300.2285247,51,51
03.txt,2,300.3971238,51,51
03.txt,3,300.2352513,51,51
03.txt,4,300.2720181,51,51
03.txt,5,300.415064,51,51
03.txt,6,300.2677221,51,51
03.txt,7,300.4140969,51,51
03.txt,8,300.2276683,51,51
03.txt,9,300.4130061,51,51
04.txt,0,1.7976299,51,51
04.txt,1,2.4222106,51,51
04.txt,2,1.7666891,51,51
04.txt,3,1.9796955,51,51
04.txt,4,1.9961182,51,51
04.txt,5,1.8934485,51,51
04.txt,6,1.952492,51,51
04.txt,7,1.6474697,51,51
04.txt,8,2.0015443,51,51
04.txt,9,1.7637561,51,51
05.txt,0,300.9221992,102,102
05.txt,1,301.3434126,102,102
05.txt,2,301.238114,102,102
05.txt,3,301.0732726,102,102
05.txt,4,301.13243,102,102
05.txt,5,301.1627947,102,102
05.txt,6,301.079596,102,102
05.txt,7,300.8926224,102,102
05.txt,8,301.1450792,102,102
05.txt,9,300.9835742,102,102
06.txt,0,31.7230639,101,101
06.txt,1,38.4113324,101,101
06.txt,2,33.5122559,101,101
06.txt,3,40.7207633,101,101
06.txt,4,30.8192261,101,101
06.txt,5,35.5094717,101,101
06.txt,6,31.7294636,101,101
06.txt,7,34.1232473,101,101
06.txt,8,34.575479,101,101
06.txt,9,35.8305241,101,101
07.txt,0,304.1737354,204,204
07.txt,1,304.2522903,204,204
07.txt,2,304.1740214,204,204
07.txt,3,304.1592616,204,204
07.txt,4,304.2452005,204,204
07.txt,5,304.8909309,204,204
07.txt,6,304.6402791,204,204
07.txt,7,304.40978,204,204
07.txt,8,304.9825227,204,204
07.txt,9,304.0098608,204,204
08.txt,0,301.4905222,201,201
08.txt,1,301.4099628,201,201
08.txt,2,301.393611,201,201
08.txt,3,301.1560943,201,201
08.txt,4,301.1930741,201,201
08.txt,5,301.4150365,201,201
08.txt,6,301.3487316,201,201
08.txt,7,301.1514599,201,201
08.txt,8,301.2316771,201,201
08.txt,9,301.3655739,201,201
09.txt,0,439.821044,334,334
09.txt,1,442.7206393,334,334
09.txt,2,438.1353414,334,334
09.txt,3,438.1007308,334,334
09.txt,4,441.4807821,334,334
09.txt,5,446.3925879,334,334
09.txt,6,443.8305305,334,334
09.txt,7,434.3591353,334,334
09.txt,8,436.1577083,334,334
09.txt,9,416.0121606,334,334
10.txt,0,448.4659757,334,334
10.txt,1,451.4030837,334,334
10.txt,2,447.592197,334,334
10.txt,3,453.4976598,334,334
10.txt,4,437.9177084,334,334
10.txt,5,435.8447089,334,334
10.txt,6,444.5246607,334,334
10.txt,7,440.2024307,334,334
10.txt,8,449.7710215,334,334
10.txt,9,450.6340907,334,334
