Read instance with 1003 players, 9913 conflicts, budget 65088
Max iterations = 1000
Seed = 1
Initial solution has 342 teams.
(0.566) New solution found in LS: 338 teams.

========== Current Solution ==========
Total teams: 338

Team    Budget         Players (id:salary)
--------------------------------------------------
0       1071           153, 692, 940, 944, 983, 992, 995, 991, 898, 
1       48             288, 372, 830, 1002, 999, 1001, 
2       3474           278, 384, 
3       5716           143, 743, 796, 
4       6              26, 601, 998, 
5       149            422, 457, 319, 985, 980, 989, 
6       64             65, 665, 832, 993, 1000, 
7       158            89, 733, 765, 855, 986, 
8       40             166, 487, 914, 
9       72             218, 428, 973, 
10      340            66, 581, 996, 
11      47             285, 361, 883, 
12      292            10, 710, 800, 
13      88             209, 477, 727, 997, 
14      146            412, 239, 852, 
15      20             88, 652, 739, 
16      430            174, 687, 599, 935, 
17      29             83, 696, 738, 984, 
18      29             513, 215, 768, 742, 990, 
19      308            123, 711, 654, 994, 
20      104            62, 691, 853, 889, 
21      63             119, 606, 857, 860, 
22      236            55, 658, 826, 
23      66             11, 660, 975, 
24      173            107, 720, 712, 844, 
25      139            337, 458, 459, 515, 951, 
26      274            30, 625, 988, 
27      524            22, 779, 716, 
28      356            7, 686, 884, 
29      484            159, 541, 881, 878, 
30      4              163, 640, 849, 719, 981, 
31      868            25, 699, 856, 
32      194            294, 380, 702, 886, 
33      172            290, 402, 630, 987, 
34      209            142, 544, 789, 
35      264            331, 472, 401, 814, 
36      103            172, 466, 
37      550            75, 611, 912, 
38      790            342, 345, 539, 974, 
39      120            160, 638, 709, 963, 955, 
40      260            255, 436, 737, 778, 
41      300            269, 377, 960, 
42      19             261, 550, 530, 761, 962, 
43      408            272, 369, 
44      696            128, 603, 746, 
45      860            328, 332, 872, 899, 
46      644            136, 531, 933, 
47      265            54, 662, 819, 
48      538            161, 602, 681, 
49      676            71, 620, 924, 
50      24             277, 370, 979, 
51      358            100, 567, 948, 
52      801            226, 443, 763, 
53      792            224, 455, 798, 906, 
54      129            230, 626, 549, 788, 943, 
55      308            63, 607, 961, 
56      20             69, 664, 875, 927, 
57      8              15, 714, 885, 897, 
58      120            9, 735, 748, 
59      361            177, 510, 736, 
60      36             24, 717, 851, 903, 
61      317            207, 554, 588, 
62      42             211, 435, 942, 
63      750            49, 648, 928, 
64      742            51, 594, 
65      824            259, 382, 
66      21             104, 551, 978, 
67      515            358, 360, 475, 799, 817, 
68      188            191, 502, 841, 787, 
69      871            234, 403, 
70      887            282, 397, 682, 
71      64             271, 491, 540, 808, 982, 
72      240            231, 512, 580, 936, 
73      334            18, 669, 953, 
74      48             296, 350, 921, 
75      720            258, 501, 505, 
76      72             317, 343, 707, 958, 
77      616            121, 516, 
78      902            164, 482, 
79      1043           225, 468, 706, 
80      477            202, 433, 
81      416            175, 523, 728, 
82      895            206, 598, 561, 
83      517            40, 668, 882, 
84      884            291, 386, 695, 
85      362            236, 521, 520, 
86      83             204, 494, 834, 840, 970, 
87      279            180, 453, 
88      23             59, 609, 920, 
89      168            146, 560, 831, 937, 
90      6              45, 616, 971, 
91      29             152, 547, 880, 867, 
92      352            203, 456, 821, 
93      976            90, 564, 
